0002	8192
0004	8192
0005	8192
0007	8192
0010	8192
0013	24576
0016	8192
0019	8192
0022	180224
0025	8192
0027	8192
0028	8192
0031	8192
0034	8192
0037	8192
0043	81920
0046	8192
0058	8192
0061	8192
0064	8192
0067	8192
0070	8192
0073	8192
0076	8192
0079	8192
0082	8192
0085	8192
0088	8192
0091	8192
0094	8192
0097	81920
0100	8192
0103	8192
0104	8192
0106	8192
0109	8192
0112	24576
0116	32768
0117	8192
0118	8192
0119	1261568
0122	8192
0125	8192
0127	8192
0128	8192
0130	8192
0134	376832
0137	16384
0140	8192
0143	8192
0146	16384
0149	8192
0300	8192
0301	8192
0302	8192
0303	8192
0306	8192
0309	8192
0312	8192
0315	8192
0321	8192
0324	8192
0327	8192
0330	8192
0400	49152
0401	8192
0402	8192
0404	32768
0405	8192
0406	8192
0408	8192
0409	8192
0410	8192
0412	8192
0413	8192
0414	8192
0416	8192
0418	8192
0419	8192
0420	8192
0423	8192
0425	32768
0426	106496
0428	81920
0430	49152
0432	8192
0436	8192
0442	8192
0444	8192
0445	8192
0446	8192
0448	200704
0450	8192
0451	8192
0452	8192
0454	8192
0455	8192
0456	8192
0458	8192
0460	8192
0466	8192
0469	8192
0470	8192
0472	98304
0473	8192
0474	8323072
0478	32768
0484	8192
0486	8192
0487	8192
0488	8192
0490	8192
0492	8192
0494	8192
0496	8192
0498	8192
0500	8192
0502	8192
0510	8192
0512	8192
0514	8192
0515	8192
0516	8192
0518	8192
0522	8192
0524	8192
0526	8192
0527	8192
0528	8192
0530	57344
0532	8192
0533	8192
0534	8192
0535	8192
0536	16384
0537	8192
0538	8192
0540	8192
0541	8192
0546	8192
0550	352256
0552	8192
0556	8192
0558	8192
0560	8192
0562	8192
0564	8192
0568	8192
0574	8192
0576	8192
0582	8192
0584	8192
0586	8192
0587	8192
0588	212992
0590	8192
0591	8192
0592	8192
0594	8192
0596	8192
0600	8192
0606	8192
0614	8192
0615	8192
0616	8192
0618	16384
0620	180224
0622	40960
0624	16384
0625	8192
0628	8192
0630	8192
0631	360448
0634	8192
0635	8192
0636	8192
0638	8192
0640	8192
0642	8192
0644	8192
0646	16384
0648	8192
0650	8192
0652	8192
0656	8192
0658	8192
0660	90112
0661	8192
0662	8192
0664	8192
0668	8192
0670	8192
0672	8192
0674	8192
0676	8192
0678	8192
0680	8192
0682	8192
0684	663552
0686	8192
0690	598016
0692	122880
0694	8192
0703	8192
0706	16384
0709	8192
0721	8192
0724	8192
0727	8192
0730	8192
0800	8192
0803	122880
0806	8192
0809	8192
0812	49152
0815	8192
0821	8192
0824	8192
0827	8192
0830	40960
0836	737280
0842	8192
0845	876544
0851	8192
0854	8192
0857	8192
0860	548864
0863	8192
0866	8192
0869	8192
0875	8192
0878	8192
0881	49152
0884	8192
0887	32768
0890	57344
0893	319488
0899	163840
0902	8192
0905	8192
0908	8192
0911	16384
0914	3858432
0917	368640
0920	8192
0923	8192
0926	204800
0929	122880
0932	8192
0935	8192
0938	8192
0944	8192
0959	1581056
0963	49152
0966	8192
0969	32768
0972	237568
0975	90112
0978	2990080
0981	8192
0984	32768
0987	8192
0990	8192
0993	8192
0996	24576
1000	8192
1002	2326528
1005	8192
1011	196608
1014	720896
1017	2572288
1020	696320
1023	8192
1029	8192
1032	8192
1035	270336
1038	622592
1041	16384
1044	204800
1047	8192
1050	8192
1053	8192
1056	442368
1100	57344
1103	32768
1203	8192
1206	57344
1209	8192
1212	794624
1218	8192
1221	49152
1224	8192
1227	24576
1229	24576
1234	16384
1235	8192
1236	286720
1242	212992
1245	294912
1248	311296
1251	368640
1254	917504
1257	32768
1260	8192
1263	221184
1266	106496
1276	180224
1279	8192
1282	8192
1285	16384
1291	8192
1294	442368
1297	8192
1306	8192
1318	630784
1321	8192
1327	8192
1336	8192
1339	8192
1342	49152
1345	565248
1348	614400
1351	1253376
1357	8192
1363	16384
1370	32768
1374	57344
1377	32768
1380	49152
1500	8192
1506	8192
1512	598016
1515	57344
1518	131072
1604	8192
1672	8192
1908	8192
2000	8192
2002	8192
2003	131072
2028	8192
2097	8192
2123	8192
2150	303104
2300	8192
2301	8192
2302	8192
2305	8192
2331	827392
2335	24576
2349	2850816
2434	8192
2456	8192
2468	8192
2806	6201344
3211	16384
9221	8192
9254	8192
9500	24576
9505	24576
9510	8192
9969	8192
9999	131072
